Fecha y Hora,Voltaje(V),Temperatura(C),Humedad(%), Sonido
2025-04-30 12:35:49, 0.01,26,59, 3600
2025-04-30 12:35:50, 0.01,26,57, 3600
2025-04-30 12:35:50, 0.02,26,57, 3552
2025-04-30 12:35:51, 0.01,26,57, 3600
2025-04-30 12:35:52, 0.01,26,57, 3616
2025-04-30 12:35:53, 0.02,26,57, 3472
2025-04-30 12:35:54, 0.01,26,57, 3600
2025-04-30 12:35:54, 0.01,26,57, 3584
2025-04-30 12:35:55, 0.02,26,57, 3568
2025-04-30 12:35:56, 0.01,26,57, 3584
2025-04-30 12:35:57, 0.01,26,57, 3568
2025-04-30 12:35:58, 0.02,26,57, 3616
2025-04-30 12:35:58, 0.01,26,57, 3664
2025-04-30 12:35:59, 0.01,26,57, 3536
2025-04-30 12:36:00, 0.01,26,57, 3568
2025-04-30 12:36:01, 0.01,26,57, 3568
2025-04-30 12:36:02, 0.01,26,57, 3632
2025-04-30 12:36:02, 0.01,26,57, 3504
2025-04-30 12:36:03, 0.01,26,57, 3616
2025-04-30 12:36:04, 0.01,26,57, 3584
2025-04-30 12:36:05, 0.01,26,57, 3600
2025-04-30 12:36:06, 0.01,26,57, 3584
2025-04-30 12:36:06, 0.01,26,57, 3584
2025-04-30 12:36:07, 0.01,26,57, 3584
2025-04-30 12:36:08, 0.01,26,57, 3600
2025-04-30 12:36:09, 0.38,26,58, 3600
2025-04-30 12:36:10, 0.52,26,58, 3584
2025-04-30 12:36:10, 0.63,26,58, 3616
2025-04-30 12:36:11, 0.87,26,58, 3584
2025-04-30 12:36:12, 1.32,26,58, 3680
2025-04-30 12:36:13, 1.60,26,58, 3616
2025-04-30 12:36:14, 2.01,26,58, 3568
2025-04-30 12:36:14, 2.17,26,58, 3584
2025-04-30 12:36:15, 2.82,26,57, 3616
2025-04-30 12:36:16, 3.20,26,57, 3568
2025-04-30 12:36:17, 3.30,26,57, 3648
2025-04-30 12:36:18, 3.30,26,57, 3616
2025-04-30 12:36:19, 3.30,26,57, 3728
2025-04-30 12:36:19, 3.30,26,57, 3648
2025-04-30 12:36:20, 3.30,26,57, 3600
2025-04-30 12:36:21, 3.30,26,57, 3584
2025-04-30 12:36:22, 3.30,26,58, 3520
2025-04-30 12:36:23, 3.30,26,58, 3600
2025-04-30 12:36:23, 3.30,26,58, 3584
2025-04-30 12:36:24, 3.30,26,58, 3568
2025-04-30 12:36:25, 3.30,26,58, 3584
2025-04-30 12:36:26, 3.30,26,58, 3584
2025-04-30 12:36:27, 3.30,26,58, 3648
2025-04-30 12:36:28, 3.30,26,58, 3584
2025-04-30 12:36:28, 3.30,26,58, 3616
2025-04-30 12:36:29, 3.30,26,58, 3600
2025-04-30 12:36:30, 3.30,26,58, 3584
2025-04-30 12:36:31, 3.30,26,58, 3584
2025-04-30 12:36:32, 3.30,26,58, 3584
2025-04-30 12:36:32, 3.30,26,58, 3600
2025-04-30 12:36:33, 3.30,26,58, 3616
2025-04-30 12:36:34, 3.30,26,58, 3728
2025-04-30 12:36:35, 3.30,26,58, 3568
2025-04-30 12:36:36, 3.30,26,58, 3600
2025-04-30 12:36:37, 3.30,26,58, 3648
2025-04-30 12:36:37, 3.30,26,58, 3600
2025-04-30 12:36:38, 3.30,26,58, 3616
2025-04-30 12:36:39, 3.30,26,58, 3600
2025-04-30 12:36:40, 3.30,26,58, 3600
2025-04-30 12:36:41, 3.30,26,58, 3600
2025-04-30 12:36:41, 3.30,26,58, 3568
2025-04-30 12:36:42, 3.30,26,58, 3568
2025-04-30 12:36:43, 3.30,26,58, 3600
2025-04-30 12:36:44, 3.30,26,58, 3552
2025-04-30 12:36:45, 3.30,26,58, 3600
2025-04-30 12:36:46, 3.30,27,58, 3584
2025-04-30 12:36:46, 3.30,27,58, 3568
2025-04-30 12:36:47, 3.30,27,58, 3600
2025-04-30 12:36:48, 3.30,27,58, 3584
2025-04-30 12:36:49, 3.30,27,58, 3648
2025-04-30 12:36:50, 3.30,27,58, 3584
2025-04-30 12:36:51, 3.30,27,58, 3600
2025-04-30 12:36:51, 3.30,27,58, 3584
2025-04-30 12:36:52, 3.30,27,57, 3584
2025-04-30 12:36:53, 3.30,27,57, 3568
2025-04-30 12:36:54, 3.30,27,57, 3536
